Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-05-17,63.632,63.632,62.604,62.931,3022282,0.0,0.0,62.94969999999988,1,63.204249999999924,1,63.29903999999996,1,64.09743999999999,1,63.4934866666667,1,30942.15,,10.2,-9.2,19.4,Train / Val
2018-05-18,62.931,63.305,62.697,62.931,2144432,0.0,0.0,62.982399999999885,1,63.10849999999992,1,63.304639999999964,1,64.07128,1,63.5219466666667,1,31047.91,,10.2,-5.9,16.1,Train / Val
2018-05-21,63.632,64.987,63.632,64.286,5246716,0.0,0.0,63.197299999999885,0,63.129549999999924,0,63.34295999999997,0,64.05026,0,63.56036000000004,0,31234.35,-0.1779,7.8,-0.4,8.2,Train / Val
2018-05-23,64.473,65.127,63.912,64.8,6439053,0.0,0.0,63.458999999999875,0,63.21599999999993,0,63.39903999999997,0,64.03111,0,63.60220000000004,0,30665.64,,7.0,-2.5,9.5,Train / Val
2018-05-24,64.753,65.781,64.005,65.5,5431440,0.0,0.0,63.748599999999875,0,63.342099999999924,0,63.43827999999997,0,64.02643,0,63.65023333333337,0,30760.41,,5.8,1.5,4.3,Train / Val
2018-05-25,65.921,66.201,64.893,65.173,5147663,0.0,0.0,64.01019999999987,0,63.472899999999925,0,63.48125999999998,0,64.01101,0,63.69517333333337,0,30588.04,,6.4,2.9,3.5000000000000004,Train / Val
2018-05-28,65.874,65.874,65.173,65.407,2761552,0.0,0.0,64.22979999999987,0,63.63174999999992,0,63.51769999999998,0,63.99232,0,63.7404466666667,0,30792.26,,6.0,-1.3,7.3,Train / Val
2018-05-29,64.94,65.314,64.659,64.94,4741586,0.0,0.0,64.30919999999988,0,63.72519999999993,0,63.53639999999998,0,63.96054999999999,0,63.78016000000003,0,30484.58,,6.8,-1.4,8.2,Train / Val
2018-05-30,64.426,64.659,64.146,64.426,6718817,0.0,0.0,64.36989999999989,0,63.69484999999993,0,63.54481999999997,0,63.92785,0,63.814913333333365,0,30056.79,,7.6,-1.4,9.0,Train / Val
2018-05-31,64.379,64.846,64.052,64.846,10722302,0.0,0.0,64.52399999999989,0,63.739199999999926,0,63.55601999999997,0,63.89234,0,63.852160000000026,0,30468.56,,6.9,0.4,6.5,Train / Val
2018-06-01,64.332,66.295,64.332,65.781,8685004,0.0,0.0,64.80899999999988,0,63.87934999999992,0,63.58779999999997,0,63.861979999999996,0,63.88432000000003,0,30492.91,-0.3612,5.4,-1.7,7.1000000000000005,Train / Val
